stem	rarity (-1 == wasn\'t in corpora, lower is more rare)	total corpora words	first word to make stem
dothrakis	-1	11622	dothrakis
dany	-1	11622	Dany
jorah	-1	11622	Jorah
mormont	-1	11622	Mormont
cabalg	-1	11622	cabalgó
abedul	-1	11622	abedules
risc	-1	11622	risco
arenisc	-1	11622	arenisca
yunki	-1	11622	yunkio
barbablanc	-1	11622	Barbablanca
flanc	-1	11622	flancos
mercenari	-1	11622	mercenarios
lancer	-1	11622	Lanceros
arquer	-1	11622	arqueros
veis	-1	11622	Veis
estandart	-1	11622	estandartes
arpi	-1	11622	arpía
yunkai	-1	11622	Yunkai
yunkaii	-1	11622	yunkaii
astapor	-1	11622	Astapor
yelm	-1	11622	yelmos
inmacul	-1	11622	Inmaculados
vos	-1	11622	vos
asint	-1	11622	asintió
adoquin	-1	11622	adoquines
khaleesi	-1	11622	khaleesi
engreid	-1	11622	engreída
enviadl	-1	11622	Enviadles
dragon	-1	11622	dragones
calibr	-1	11622	calibrar
pizarr	-1	11622	pizarra
afil	-1	11622	afilarlas
estac	-1	11622	estacas
eunuc	-1	11622	eunucos
fortific	-1	11622	fortificado
gusan	-1	11622	Gusano
altez	-1	11622	Alteza
sedient	-1	11622	sedientos
vuestr	-1	11622	Vuestro
demostrarosl	-1	11622	demostrároslo
daenerys	-1	11622	Daenerys
estes	-1	11622	estés
espole	-1	11622	espoleó
perimetr	-1	11622	perímetro
mul	-1	11622	mulas
hambrient	-1	11622	hambrientos
librement	-1	11622	libremente
hord	-1	11622	hordas
sanador	-1	11622	sanador
prefir	-1	11622	prefirieron
asno	-1	11622	asno
armer	-1	11622	armería
langost	-1	11622	langostas
sandali	-1	11622	sandalias
jinet	-1	11622	jinetes
contuv	-1	11622	contuvo
arstan	-1	11622	Arstan
belw	-1	11622	Belwas
hig	-1	11622	higos
kos	-1	11622	kos
jhog	-1	11622	Jhogo
aggo	-1	11622	Aggo
rakhar	-1	11622	Rakharo
khalas	-1	11622	khalasar
trenz	-1	11622	trenzar
encorv	-1	11622	encorvados
irri	-1	11622	Irri
jhiqui	-1	11622	Jhiqui
missandei	-1	11622	Missandei
barrit	-1	11622	barrita
inciens	-1	11622	incienso
endulz	-1	11622	endulzar
drogon	-1	11622	Drogon
rhaegal	-1	11622	Rhaegal
cojin	-1	11622	cojines
enrosc	-1	11622	enroscados
viserion	-1	11622	Viserion
bañer	-1	11622	bañera
valyri	-1	11622	Valyrio
